Subscriber ID,Show,Episodes Watched,Episode Length (m),Total Mins watched,
1985,Mad Men,0.00,45,0,1985
1984,Walking Dead,3.03,40,121,1984
1984,Lost,1.20,45,54,1984
1984,Weeds,0.30,30,9,1984
1984,Pony,0.23,30,7,1984
1984,Mad Men,0.44,45,20,1984
1984,Lorax,0.17,30,5,1984
1983,Walking Dead,2.98,40,119,1983
1983,Lost,1.22,45,55,1983
1983,Lorax,0.13,30,4,1983
1983,Pony,0.07,30,2,1983
1983,Mad Men,0.00,45,0,1983
1983,Weeds,0.00,30,0,1983
1982,Walking Dead,2.72,40,109,1982
1982,Lost,1.00,45,45,1982
1982,Mad Men,0.40,45,18,1982
1982,Weeds,0.20,30,6,1982
1982,Pony,0.17,30,5,1982
1982,Lorax,0.07,30,2,1982
1981,Walking Dead,3.37,40,135,1981
1981,Lost,1.64,45,74,1981
1981,Weeds,0.20,30,6,1981
1981,Mad Men,0.27,45,12,1981
1981,Lorax,0.13,30,4,1981
1981,Pony,0.10,30,3,1981
1980,Walking Dead,2.85,40,114,1980
1980,Lost,0.87,45,39,1980
1980,Weeds,0.13,30,4,1980
1980,Pony,0.10,30,3,1980
1980,Lorax,0.10,30,3,1980
1980,Mad Men,0.04,45,2,1980
1979,Walking Dead,3.02,40,121,1979
1979,Lost,1.18,45,53,1979
1979,Weeds,0.17,30,5,1979
1979,Lorax,0.17,30,5,1979
1979,Mad Men,0.27,45,12,1979
1979,Pony,0.10,30,3,1979
1978,Walking Dead,3.27,40,131,1978
1978,Lost,1.40,45,63,1978
1978,Weeds,0.30,30,9,1978
1978,Mad Men,0.49,45,22,1978
1978,Pony,0.13,30,4,1978
1978,Lorax,0.10,30,3,1978
1977,Walking Dead,2.73,40,109,1977
1977,Lost,1.00,45,45,1977
1977,Weeds,0.37,30,11,1977
1977,Mad Men,0.67,45,30,1977
1977,Lorax,0.07,30,2,1977
1977,Pony,0.03,30,1,1977
1976,Walking Dead,2.53,40,101,1976
1976,Lost,0.69,45,31,1976
1976,Weeds,0.27,30,8,1976
1976,Mad Men,0.44,45,20,1976
1976,Pony,0.17,30,5,1976
1976,Lorax,0.10,30,3,1976
1975,Walking Dead,3.07,40,123,1975
1975,Lost,1.22,45,55,1975
1975,Weeds,0.17,30,5,1975
1975,Pony,0.10,30,3,1975
1975,Mad Men,0.18,45,8,1975
1975,Lorax,0.03,30,1,1975
1974,Walking Dead,2.93,40,117,1974
1974,Lost,1.04,45,47,1974
1974,Weeds,0.30,30,9,1974
1974,Pony,0.20,30,6,1974
1974,Lorax,0.17,30,5,1974
1974,Mad Men,0.22,45,10,1974
1973,Walking Dead,2.62,40,105,1973
1973,Lost,0.62,45,28,1973
1973,Pony,0.20,30,6,1973
1973,Lorax,0.13,30,4,1973
1973,Weeds,0.03,30,1,1973
1973,Mad Men,0.00,45,0,1973
1972,Walking Dead,2.95,40,118,1972
1972,Lost,1.13,45,51,1972
1972,Lorax,0.23,30,7,1972
1972,Pony,0.17,30,5,1972
1972,Weeds,0.07,30,2,1972
1972,Mad Men,0.00,45,0,1972
1971,Walking Dead,3.00,40,120,1971
1971,Lost,1.20,45,54,1971
1971,Weeds,0.23,30,7,1971
1971,Lorax,0.17,30,5,1971
1971,Pony,0.10,30,3,1971
1971,Mad Men,0.13,45,6,1971
1970,Walking Dead,3.17,40,127,1970
1970,Lost,1.27,45,57,1970
1970,Weeds,0.27,30,8,1970
1970,Mad Men,0.44,45,20,1970
1970,Lorax,0.10,30,3,1970
1970,Pony,0.07,30,2,1970
1969,Walking Dead,2.85,40,114,1969
1969,Lost,1.07,45,48,1969
1969,Pony,0.13,30,4,1969
1969,Lorax,0.10,30,3,1969
1969,Mad Men,0.00,45,0,1969
1969,Weeds,0.00,30,0,1969
1968,Walking Dead,3.28,40,131,1968
1968,Lost,1.51,45,68,1968
1968,Pony,0.23,30,7,1968
1968,Weeds,0.20,30,6,1968
1968,Lorax,0.13,30,4,1968
1968,Mad Men,0.22,45,10,1968
1967,Walking Dead,3.20,40,128,1967
1967,Lost,1.53,45,69,1967
1967,Mad Men,0.40,45,18,1967
1967,Weeds,0.20,30,6,1967
1967,Pony,0.10,30,3,1967
1967,Lorax,0.03,30,1,1967
1966,Walking Dead,3.05,40,122,1966
1966,Lost,1.33,45,60,1966
1966,Weeds,0.33,30,10,1966
1966,Mad Men,0.62,45,28,1966
1966,Pony,0.03,30,1,1966
1966,Lorax,0.03,30,1,1966
1965,Walking Dead,2.83,40,113,1965
1965,Lost,0.82,45,37,1965
1965,Weeds,0.33,30,10,1965
1965,Mad Men,0.49,45,22,1965
1965,Pony,0.20,30,6,1965
1965,Lorax,0.13,30,4,1965
1964,Walking Dead,3.30,40,132,1964
1964,Lost,1.33,45,60,1964
1964,Weeds,0.17,30,5,1964
1964,Pony,0.13,30,4,1964
1964,Mad Men,0.18,45,8,1964
1964,Lorax,0.07,30,2,1964
1963,Walking Dead,3.08,40,123,1963
1963,Lost,1.22,45,55,1963
1963,Pony,0.27,30,8,1963
1963,Weeds,0.23,30,7,1963
1963,Lorax,0.20,30,6,1963
1963,Mad Men,0.31,45,14,1963
1962,Walking Dead,2.62,40,105,1962
1962,Lost,0.80,45,36,1962
1962,Mad Men,0.53,45,24,1962
1962,Weeds,0.27,30,8,1962
1962,Pony,0.13,30,4,1962
1962,Lorax,0.13,30,4,1962
1961,Walking Dead,3.10,40,124,1961
1961,Lost,1.27,45,57,1961
1961,Weeds,0.20,30,6,1961
1961,Mad Men,0.36,45,16,1961
1961,Pony,0.17,30,5,1961
1961,Lorax,0.10,30,3,1961
1960,Walking Dead,2.88,40,115,1960
1960,Lost,1.09,45,49,1960
1960,Weeds,0.10,30,3,1960
1960,Mad Men,0.13,45,6,1960
1960,Lorax,0.07,30,2,1960
1960,Pony,0.03,30,1,1960
1959,Walking Dead,2.90,40,116,1959
1959,Lost,0.93,45,42,1959
1959,Pony,0.27,30,8,1959
1959,Lorax,0.20,30,6,1959
1959,Mad Men,0.00,45,0,1959
1959,Weeds,0.00,30,0,1959
1958,Walking Dead,2.98,40,119,1958
1958,Lost,1.18,45,53,1958
1958,Weeds,0.13,30,4,1958
1958,Pony,0.13,30,4,1958
1958,Mad Men,0.22,45,10,1958
1958,Lorax,0.10,30,3,1958
1957,Walking Dead,3.48,40,139,1957
1957,Lost,1.56,45,70,1957
1957,Lorax,0.10,30,3,1957
1957,Weeds,0.07,30,2,1957
1957,Pony,0.07,30,2,1957
1957,Mad Men,0.00,45,0,1957
1956,Walking Dead,2.63,40,105,1956
1956,Lost,0.78,45,35,1956
1956,Weeds,0.27,30,8,1956
1956,Mad Men,0.40,45,18,1956
1956,Pony,0.00,30,0,1956
1956,Lorax,0.00,30,0,1956
1955,Walking Dead,2.95,40,118,1955
1955,Lost,1.02,45,46,1955
1955,Weeds,0.27,30,8,1955
1955,Lorax,0.27,30,8,1955
1955,Mad Men,0.40,45,18,1955
1955,Pony,0.20,30,6,1955
1954,Walking Dead,3.08,40,123,1954
1954,Lost,1.36,45,61,1954
1954,Pony,0.10,30,3,1954
1954,Weeds,0.07,30,2,1954
1954,Lorax,0.07,30,2,1954
1954,Mad Men,0.09,45,4,1954
1953,Walking Dead,2.93,40,117,1953
1953,Lost,0.98,45,44,1953
1953,Pony,0.17,30,5,1953
1953,Weeds,0.10,30,3,1953
1953,Mad Men,0.18,45,8,1953
1953,Lorax,0.07,30,2,1953
1952,Walking Dead,3.13,40,125,1952
1952,Lost,1.36,45,61,1952
1952,Weeds,0.20,30,6,1952
1952,Mad Men,0.36,45,16,1952
1952,Lorax,0.10,30,3,1952
1952,Pony,0.07,30,2,1952
1951,Walking Dead,2.80,40,112,1951
1951,Lost,0.96,45,43,1951
1951,Weeds,0.27,30,8,1951
1951,Mad Men,0.49,45,22,1951
1951,Pony,0.23,30,7,1951
1951,Lorax,0.10,30,3,1951
1950,Walking Dead,2.72,40,109,1950
1950,Lost,0.80,45,36,1950
1950,Weeds,0.10,30,3,1950
1950,Mad Men,0.13,45,6,1950
1950,Pony,0.07,30,2,1950
1950,Lorax,0.07,30,2,1950
1949,Walking Dead,2.62,40,105,1949
1949,Lost,0.64,45,29,1949
1949,Lorax,0.23,30,7,1949
1949,Weeds,0.17,30,5,1949
1949,Pony,0.17,30,5,1949
1949,Mad Men,0.31,45,14,1949
1948,Walking Dead,3.08,40,123,1948
1948,Lost,1.38,45,62,1948
1948,Mad Men,0.53,45,24,1948
1948,Weeds,0.23,30,7,1948
1948,Pony,0.17,30,5,1948
1948,Lorax,0.17,30,5,1948
1947,Walking Dead,3.15,40,126,1947
1947,Lost,1.38,45,62,1947
1947,Mad Men,0.27,45,12,1947
1947,Weeds,0.13,30,4,1947
1947,Lorax,0.13,30,4,1947
1947,Pony,0.10,30,3,1947
1946,Walking Dead,3.15,40,126,1946
1946,Lost,1.13,45,51,1946
1946,Pony,0.17,30,5,1946
1946,Lorax,0.13,30,4,1946
1946,Weeds,0.07,30,2,1946
1946,Mad Men,0.00,45,0,1946
1945,Walking Dead,3.07,40,123,1945
1945,Lost,1.16,45,52,1945
1945,Weeds,0.10,30,3,1945
1945,Pony,0.10,30,3,1945
1945,Mad Men,0.09,45,4,1945
1945,Lorax,0.03,30,1,1945
1944,Walking Dead,3.15,40,126,1944
1944,Lost,1.27,45,57,1944
1944,Weeds,0.13,30,4,1944
1944,Lorax,0.10,30,3,1944
1944,Mad Men,0.13,45,6,1944
1944,Pony,0.03,30,1,1944
1943,Walking Dead,3.23,40,129,1943
1943,Lost,1.38,45,62,1943
1943,Weeds,0.20,30,6,1943
1943,Lorax,0.20,30,6,1943
1943,Pony,0.17,30,5,1943
1943,Mad Men,0.31,45,14,1943
1942,Walking Dead,2.68,40,107,1942
1942,Lost,0.84,45,38,1942
1942,Weeds,0.40,30,12,1942
1942,Mad Men,0.71,45,32,1942
1942,Pony,0.10,30,3,1942
1942,Lorax,0.03,30,1,1942
1941,Walking Dead,3.08,40,123,1941
1941,Lost,1.22,45,55,1941
1941,Weeds,0.33,30,10,1941
1941,Mad Men,0.53,45,24,1941
1941,Lorax,0.17,30,5,1941
1941,Pony,0.13,30,4,1941
1940,Walking Dead,3.03,40,121,1940
1940,Lost,1.22,45,55,1940
1940,Pony,0.30,30,9,1940
1940,Lorax,0.23,30,7,1940
1940,Mad Men,0.09,45,4,1940
1940,Weeds,0.03,30,1,1940
1939,Walking Dead,3.23,40,129,1939
1939,Lost,1.47,45,66,1939
1939,Weeds,0.23,30,7,1939
1939,Mad Men,0.44,45,20,1939
1939,Pony,0.10,30,3,1939
1939,Lorax,0.07,30,2,1939
1938,Walking Dead,2.63,40,105,1938
1938,Lost,0.69,45,31,1938
1938,Mad Men,0.13,45,6,1938
1938,Weeds,0.07,30,2,1938
1938,Pony,0.03,30,1,1938
1938,Lorax,0.03,30,1,1938
1937,Walking Dead,3.17,40,127,1937
1937,Lost,1.38,45,62,1937
1937,Lorax,0.20,30,6,1937
1937,Weeds,0.17,30,5,1937
1937,Pony,0.13,30,4,1937
1937,Mad Men,0.22,45,10,1937
1936,Walking Dead,3.25,40,130,1936
1936,Lost,1.47,45,66,1936
1936,Weeds,0.33,30,10,1936
1936,Mad Men,0.49,45,22,1936
1936,Lorax,0.13,30,4,1936
1936,Pony,0.07,30,2,1936
1935,Walking Dead,3.02,40,121,1935
1935,Lost,1.13,45,51,1935
1935,Lorax,0.17,30,5,1935
1935,Pony,0.13,30,4,1935
1935,Mad Men,0.00,45,0,1935
1935,Weeds,0.00,30,0,1935
1934,Walking Dead,3.00,40,120,1934
1934,Lost,1.13,45,51,1934
1934,Weeds,0.33,30,10,1934
1934,Mad Men,0.62,45,28,1934
1934,Pony,0.17,30,5,1934
1934,Lorax,0.17,30,5,1934
1933,Walking Dead,2.92,40,117,1933
1933,Lost,1.07,45,48,1933
1933,Pony,0.13,30,4,1933
1933,Lorax,0.10,30,3,1933
1933,Weeds,0.07,30,2,1933
1933,Mad Men,0.09,45,4,1933
1932,Walking Dead,2.70,40,108,1932
1932,Lost,0.71,45,32,1932
1932,Pony,0.17,30,5,1932
1932,Lorax,0.13,30,4,1932
1932,Weeds,0.07,30,2,1932
1932,Mad Men,0.00,45,0,1932
1931,Walking Dead,3.33,40,133,1931
1931,Lost,1.53,45,69,1931
1931,Weeds,0.13,30,4,1931
1931,Pony,0.10,30,3,1931
1931,Lorax,0.07,30,2,1931
1931,Mad Men,0.00,45,0,1931
1930,Walking Dead,2.92,40,117,1930
1930,Lost,1.04,45,47,1930
1930,Weeds,0.27,30,8,1930
1930,Mad Men,0.49,45,22,1930
1930,Lorax,0.23,30,7,1930
1930,Pony,0.10,30,3,1930
1929,Walking Dead,3.30,40,132,1929
1929,Lost,1.49,45,67,1929
1929,Pony,0.30,30,9,1929
1929,Lorax,0.17,30,5,1929
1929,Mad Men,0.13,45,6,1929
1929,Weeds,0.07,30,2,1929
1928,Walking Dead,2.85,40,114,1928
1928,Lost,1.00,45,45,1928
1928,Weeds,0.20,30,6,1928
1928,Pony,0.10,30,3,1928
1928,Lorax,0.10,30,3,1928
1928,Mad Men,0.09,45,4,1928
1927,Walking Dead,3.08,40,123,1927
1927,Lost,1.11,45,50,1927
1927,Weeds,0.20,30,6,1927
1927,Pony,0.13,30,4,1927
1927,Mad Men,0.18,45,8,1927
1927,Lorax,0.07,30,2,1927
1926,Walking Dead,2.75,40,110,1926
1926,Lost,1.00,45,45,1926
1926,Mad Men,0.76,45,34,1926
1926,Weeds,0.37,30,11,1926
1926,Pony,0.23,30,7,1926
1926,Lorax,0.13,30,4,1926
1925,Walking Dead,3.10,40,124,1925
1925,Lost,1.13,45,51,1925
1925,Weeds,0.13,30,4,1925
1925,Mad Men,0.13,45,6,1925
1925,Pony,0.07,30,2,1925
1925,Lorax,0.07,30,2,1925
1924,Walking Dead,3.30,40,132,1924
1924,Lost,1.42,45,64,1924
1924,Pony,0.17,30,5,1924
1924,Lorax,0.13,30,4,1924
1924,Weeds,0.03,30,1,1924
1924,Mad Men,0.00,45,0,1924
1923,Walking Dead,2.93,40,117,1923
1923,Lost,0.96,45,43,1923
1923,Weeds,0.30,30,9,1923
1923,Mad Men,0.40,45,18,1923
1923,Pony,0.03,30,1,1923
1923,Lorax,0.00,30,0,1923
1922,Walking Dead,2.62,40,105,1922
1922,Lost,0.89,45,40,1922
1922,Weeds,0.40,30,12,1922
1922,Mad Men,0.67,45,30,1922
1922,Pony,0.17,30,5,1922
1922,Lorax,0.13,30,4,1922
1921,Walking Dead,2.92,40,117,1921
1921,Lost,1.20,45,54,1921
1921,Mad Men,0.44,45,20,1921
1921,Weeds,0.20,30,6,1921
1921,Lorax,0.03,30,1,1921
1921,Pony,0.00,30,0,1921
1920,Walking Dead,2.90,40,116,1920
1920,Lost,1.13,45,51,1920
1920,Mad Men,0.67,45,30,1920
1920,Weeds,0.30,30,9,1920
1920,Pony,0.27,30,8,1920
1920,Lorax,0.13,30,4,1920
1919,Walking Dead,2.70,40,108,1919
1919,Lost,0.91,45,41,1919
1919,Weeds,0.23,30,7,1919
1919,Mad Men,0.40,45,18,1919
1919,Lorax,0.10,30,3,1919
1919,Pony,0.07,30,2,1919
1918,Walking Dead,3.15,40,126,1918
1918,Lost,1.20,45,54,1918
1918,Lorax,0.20,30,6,1918
1918,Pony,0.17,30,5,1918
1918,Weeds,0.13,30,4,1918
1918,Mad Men,0.00,45,0,1918
1917,Walking Dead,3.03,40,121,1917
1917,Lost,1.16,45,52,1917
1917,Mad Men,0.40,45,18,1917
1917,Weeds,0.20,30,6,1917
1917,Pony,0.00,30,0,1917
1917,Lorax,0.00,30,0,1917
1916,Walking Dead,2.95,40,118,1916
1916,Lost,1.13,45,51,1916
1916,Weeds,0.27,30,8,1916
1916,Pony,0.23,30,7,1916
1916,Lorax,0.13,30,4,1916
1916,Mad Men,0.22,45,10,1916
1915,Walking Dead,3.70,40,148,1915
1915,Lost,2.00,45,90,1915
1915,Weeds,0.27,30,8,1915
1915,Mad Men,0.36,45,16,1915
1915,Pony,0.17,30,5,1915
1915,Lorax,0.17,30,5,1915
1914,Walking Dead,3.28,40,131,1914
1914,Lost,1.40,45,63,1914
1914,Mad Men,0.53,45,24,1914
1914,Weeds,0.23,30,7,1914
1914,Pony,0.13,30,4,1914
1914,Lorax,0.07,30,2,1914
1913,Walking Dead,2.80,40,112,1913
1913,Lost,1.02,45,46,1913
1913,Weeds,0.30,30,9,1913
1913,Pony,0.27,30,8,1913
1913,Mad Men,0.40,45,18,1913
1913,Lorax,0.20,30,6,1913
1912,Walking Dead,2.75,40,110,1912
1912,Lost,0.80,45,36,1912
1912,Weeds,0.27,30,8,1912
1912,Mad Men,0.49,45,22,1912
1912,Lorax,0.17,30,5,1912
1912,Pony,0.10,30,3,1912
1911,Walking Dead,3.20,40,128,1911
1911,Lost,1.33,45,60,1911
1911,Weeds,0.13,30,4,1911
1911,Mad Men,0.22,45,10,1911
1911,Pony,0.10,30,3,1911
1911,Lorax,0.03,30,1,1911
1910,Walking Dead,3.17,40,127,1910
1910,Lost,1.58,45,71,1910
1910,Weeds,0.30,30,9,1910
1910,Mad Men,0.58,45,26,1910
1910,Pony,0.13,30,4,1910
1910,Lorax,0.13,30,4,1910
1909,Walking Dead,3.20,40,128,1909
1909,Lost,1.27,45,57,1909
1909,Pony,0.27,30,8,1909
1909,Weeds,0.20,30,6,1909
1909,Mad Men,0.36,45,16,1909
1909,Lorax,0.17,30,5,1909
1908,Walking Dead,2.88,40,115,1908
1908,Lost,1.07,45,48,1908
1908,Weeds,0.37,30,11,1908
1908,Mad Men,0.36,45,16,1908
1908,Lorax,0.17,30,5,1908
1908,Pony,0.10,30,3,1908
1907,Walking Dead,2.68,40,107,1907
1907,Lost,0.80,45,36,1907
1907,Mad Men,0.40,45,18,1907
1907,Weeds,0.20,30,6,1907
1907,Pony,0.13,30,4,1907
1907,Lorax,0.10,30,3,1907
1906,Walking Dead,2.67,40,107,1906
1906,Lost,0.96,45,43,1906
1906,Mad Men,0.31,45,14,1906
1906,Weeds,0.13,30,4,1906
1906,Lorax,0.10,30,3,1906
1906,Pony,0.03,30,1,1906
1905,Walking Dead,3.72,40,149,1905
1905,Lost,1.82,45,82,1905
1905,Weeds,0.20,30,6,1905
1905,Mad Men,0.31,45,14,1905
1905,Pony,0.10,30,3,1905
1905,Lorax,0.07,30,2,1905
1904,Walking Dead,2.62,40,105,1904
1904,Lost,0.71,45,32,1904
1904,Lorax,0.07,30,2,1904
1904,Pony,0.03,30,1,1904
1904,Mad Men,0.00,45,0,1904
1904,Weeds,0.00,30,0,1904
1903,Walking Dead,3.38,40,135,1903
1903,Lost,1.44,45,65,1903
1903,Weeds,0.17,30,5,1903
1903,Mad Men,0.27,45,12,1903
1903,Lorax,0.07,30,2,1903
1903,Pony,0.03,30,1,1903
1902,Walking Dead,2.85,40,114,1902
1902,Lost,0.89,45,40,1902
1902,Pony,0.13,30,4,1902
1902,Lorax,0.13,30,4,1902
1902,Weeds,0.03,30,1,1902
1902,Mad Men,0.00,45,0,1902
1901,Walking Dead,2.97,40,119,1901
1901,Lost,1.20,45,54,1901
1901,Weeds,0.23,30,7,1901
1901,Mad Men,0.27,45,12,1901
1901,Pony,0.10,30,3,1901
1901,Lorax,0.10,30,3,1901
1900,Walking Dead,3.20,40,128,1900
1900,Lost,1.33,45,60,1900
1900,Weeds,0.30,30,9,1900
1900,Mad Men,0.40,45,18,1900
1900,Pony,0.20,30,6,1900
1900,Lorax,0.13,30,4,1900
1899,Walking Dead,3.37,40,135,1899
1899,Lost,1.60,45,72,1899
1899,Mad Men,0.44,45,20,1899
1899,Weeds,0.20,30,6,1899
1899,Pony,0.20,30,6,1899
1899,Lorax,0.17,30,5,1899
1898,Walking Dead,2.93,40,117,1898
1898,Lost,1.13,45,51,1898
1898,Pony,0.17,30,5,1898
1898,Lorax,0.17,30,5,1898
1898,Weeds,0.13,30,4,1898
1898,Mad Men,0.13,45,6,1898
1897,Walking Dead,2.63,40,105,1897
1897,Lost,0.98,45,44,1897
1897,Weeds,0.23,30,7,1897
1897,Mad Men,0.31,45,14,1897
1897,Lorax,0.13,30,4,1897
1897,Pony,0.07,30,2,1897
1896,Walking Dead,3.02,40,121,1896
1896,Lost,1.29,45,58,1896
1896,Weeds,0.27,30,8,1896
1896,Mad Men,0.44,45,20,1896
1896,Pony,0.10,30,3,1896
1896,Lorax,0.07,30,2,1896
1895,Walking Dead,2.97,40,119,1895
1895,Lost,1.09,45,49,1895
1895,Pony,0.27,30,8,1895
1895,Weeds,0.23,30,7,1895
1895,Mad Men,0.44,45,20,1895
1895,Lorax,0.20,30,6,1895
1894,Walking Dead,2.68,40,107,1894
1894,Lost,0.71,45,32,1894
1894,Lorax,0.17,30,5,1894
1894,Pony,0.13,30,4,1894
1894,Weeds,0.07,30,2,1894
1894,Mad Men,0.04,45,2,1894
1893,Walking Dead,2.55,40,102,1893
1893,Lost,0.62,45,28,1893
1893,Pony,0.20,30,6,1893
1893,Lorax,0.13,30,4,1893
1893,Weeds,0.10,30,3,1893
1893,Mad Men,0.18,45,8,1893
1892,Walking Dead,2.83,40,113,1892
1892,Lost,1.00,45,45,1892
1892,Weeds,0.27,30,8,1892
1892,Mad Men,0.40,45,18,1892
1892,Lorax,0.20,30,6,1892
1892,Pony,0.17,30,5,1892
1891,Walking Dead,2.87,40,115,1891
1891,Lost,1.04,45,47,1891
1891,Weeds,0.30,30,9,1891
1891,Mad Men,0.58,45,26,1891
1891,Lorax,0.10,30,3,1891
1891,Pony,0.07,30,2,1891
1890,Walking Dead,2.78,40,111,1890
1890,Lost,0.91,45,41,1890
1890,Weeds,0.13,30,4,1890
1890,Lorax,0.13,30,4,1890
1890,Pony,0.10,30,3,1890
1890,Mad Men,0.18,45,8,1890
1889,Walking Dead,2.57,40,103,1889
1889,Lost,0.87,45,39,1889
1889,Weeds,0.37,30,11,1889
1889,Mad Men,0.58,45,26,1889
1889,Pony,0.23,30,7,1889
1889,Lorax,0.13,30,4,1889
1888,Walking Dead,2.90,40,116,1888
1888,Lost,0.98,45,44,1888
1888,Weeds,0.17,30,5,1888
1888,Pony,0.13,30,4,1888
1888,Lorax,0.13,30,4,1888
1888,Mad Men,0.22,45,10,1888
1887,Walking Dead,3.32,40,133,1887
1887,Lost,1.49,45,67,1887
1887,Weeds,0.23,30,7,1887
1887,Pony,0.20,30,6,1887
1887,Mad Men,0.22,45,10,1887
1887,Lorax,0.10,30,3,1887
1886,Walking Dead,3.10,40,124,1886
1886,Lost,1.27,45,57,1886
1886,Weeds,0.23,30,7,1886
1886,Mad Men,0.40,45,18,1886
1886,Lorax,0.10,30,3,1886
1886,Pony,0.03,30,1,1886
1885,Walking Dead,3.13,40,125,1885
1885,Lost,1.27,45,57,1885
1885,Lorax,0.13,30,4,1885
1885,Weeds,0.10,30,3,1885
1885,Mad Men,0.13,45,6,1885
1885,Pony,0.07,30,2,1885
1884,Walking Dead,3.55,40,142,1884
1884,Lost,1.71,45,77,1884
1884,Pony,0.20,30,6,1884
1884,Weeds,0.17,30,5,1884
1884,Mad Men,0.27,45,12,1884
1884,Lorax,0.10,30,3,1884
1883,Walking Dead,3.18,40,127,1883
1883,Lost,1.42,45,64,1883
1883,Weeds,0.10,30,3,1883
1883,Pony,0.10,30,3,1883
1883,Mad Men,0.09,45,4,1883
1883,Lorax,0.03,30,1,1883
1882,Walking Dead,2.65,40,106,1882
1882,Lost,0.84,45,38,1882
1882,Mad Men,0.67,45,30,1882
1882,Weeds,0.33,30,10,1882
1882,Pony,0.17,30,5,1882
1882,Lorax,0.17,30,5,1882
1881,Walking Dead,2.97,40,119,1881
1881,Lost,1.09,45,49,1881
1881,Pony,0.13,30,4,1881
1881,Lorax,0.07,30,2,1881
1881,Weeds,0.03,30,1,1881
1881,Mad Men,0.04,45,2,1881
1880,Walking Dead,3.37,40,135,1880
1880,Lost,1.44,45,65,1880
1880,Weeds,0.10,30,3,1880
1880,Pony,0.07,30,2,1880
1880,Lorax,0.07,30,2,1880
1880,Mad Men,0.00,45,0,1880
